topik,pertanyaan
PENGAJUAN BANTUAN,"<p>Halo filkom, di bawah ini saya lampirkan surat Pengajuan Bantuan Keuangan. </p> <p>Terimakasih atas bantuannya.</p>"
PENGAJUAN BANTUAN,"<p>Selamat sore, berikut saya lampirkan mengenai surat pengajuan bantuan keuangan untuk memenuhi persyaratan mengikuti UAS 2021 / 2022.</p>"
PENGAJUAN BANTUAN,<p>Untuk pengajuan bantuan keuangan filkom UB itu prosedurnya bagaimana ya? Diajukannya kemana?</p>
PENGAJUAN BANTUAN,"<p>Selamat Malam Bapak/Ibu, Mohon izin bertanya tentang pengajuan bantuan keuangan untuk langkah setelah finalisasi apa yang harus saya lakukan? apakah menunggu saja atau ada lagi yang harus dipersiapkan untuk verifikasi bem fakultas dll? Soalnya di website sibaku terdapat gambar seperti jadwal. Terima kasih.</p>"
PENGAJUAN BANTUAN,"<p>Assalamualaikum wr wb sebelumnya perkenalkan nama saya Triyo Anggoro dari prodi Pendidikan Teknologi Infomasi dengan NIM 215150601111018, Mohon izin untuk bertanya mengenai bantuan keuangan biaya ukt, kemarin saya sudah mengisi persyaratan pengajuan bantuan keuangan biaya ukt, untuk mengetahui apakah sudah di validasi dapat diakses dari mana? Terimakasih. Wassalamualikum wr wb</p>"
PENCAIRAN SALDO UKT,"<p>Selamat Siang Pak / Bu,</p> <p>Mohon maaf bertanya kembali, apakah terdapat update terkait Pencairan Saldo UKT saya ?</p> <p>Terimakasih.</p>"
PENCAIRAN SALDO UKT,"<p>Selamat Siang,</p> <p>Saya sudah mengajukan permohonan pencairan saldo UKT melalui email <a href=""mailto:tupusatub@gmail.com"" target=""_blank"">tupusatub@gmail.com</a> pada Kamis, 28 Juli 2022 pukul 9:23, namun saya mendapat tagihan di SIAM pada Jumat, 29 Juli 2022 pukul 10:39. Mohon arahannya saya harus bagaimana, terima kasih.</p>"
KRITERIA 50,"<p>Untuk keringanan dapat dibantu dengan </p> <p>Kriteria yang mendapat bantuan 50% adalah bagi Mahasiswa S1 dan D4 tingkat akhir yang berada pada <strong>Semester 9 (Sembilan) dan Seterusnya yang sudah menempuh sekurang - kurangnya 138 SKS serta mengambil mata kuliah kurang dari atau sama dengan 6 (enam) SKS.</strong></p> <p>saat ini sudah saya aktifkan angsuran 50% untuk semester Ganjil 2021/2022 dan Genap 2021/2022. </p> <p>Silahakn lakukan Pembayaran, dengan batas pembayaran tanggal 1 Juli 2022</p>"
REGISTRASI MAHASISWA LAMA,"<p>Assalamualaikum wr. wb.<br />Selamat pagi dan salam sejahtera,</p> <p>Perkenalkan saya Muhammad Aji Taufan mahasiswa jurusan TIF angkatan 2015, saya ingin menanyakan mengenai permasalahan registrasi mahasiswa lama dengan semester 9 keatas. Beberapa saat lalu terdapat surat rektor yang menyatakan bahwa untuk semester 9 keatas mendapatkan keringanan pembayaran registrasi yaitu pemotongan UKT sebesar 50% jika hanya mengambil </p><p>Permasalahan yang ingin saya tanyakan adalah pada Registrasi SIAM UB saya yaitu pada debetnya kembali ke kategori UKT saya sebelum mendapatkan keringanan, padahal sebelumnya sudah mendapat potongan dan sudah saya lakukan pembayaran UKT kemudian memilih KRS sebanyak 6 sks (matakuliah tugas akhir). Berikut gambar saya lampirkan beserta tiket baru yang saya kirimkan.<br /></p> <p>Untuk tindak lanjutnya kira-kira bagaimana ya? <br />Terimakasih atas perhatiannya.<br /><br />Wassalamualaikum wr. wb.</p>"
TATA CARA PEMBAYARAN,<p>Selamat Pagi<br /><br />Apakah tata pembayarannya sama dengan tata cara pembayaran biasanya?<br />Terimakasih</p>
TATA CARA PEMBAYARAN,"<p>selamat siang izin bertanya, untuk mahasiswa baru 2021, membayar angsuran ukt (jalur mandiri) tata cara pembayaran bagaimana ya? apakah sama dengan cara pembayaran di awal? terimakasih</p>"
TATA CARA PEMBAYARAN,"<p>selamat siang izin bertanya, untuk mahasiswa baru 2021, membayar angsuran ukt (jalur mandiri) tata cara pembayaran bagaimana ya? apakah sama dengan cara pembayaran di awal? terimakasih</p>"
TATA CARA PEMBAYARAN,<p>apakah nomor rekening dan tata cara pembayarannya akan muncul di siam pada tgl tersebut?</p>
TATA CARA PEMBAYARAN,"<p>Selamat pagi saya ingin bertanya, untuk nomor tagihan dan tata cara pembayaran angsuran kedua bisa dilihat dimana ya?terimakasih</p>"
TATA CARA PEMBAYARAN,<p>mohon maaf kak saya baru bisa melakukan pembayaran ukt angsuran ke duanya besok kak sebesar 18 jt dan terkait nomor tagihannya itu diliat di mana ya kak soalnya di tata cara pembayarannya ada di minta kak</p> <p>terima kasih </p>
TATA CARA PEMBAYARAN,"<p>selamat siang, saya mau bertanya, saya sudah coba bayar ipi menggunakan BSI sesuai dengan petunjuk di tata cara pembayaran, tetapi tidak bisa. Saya coba melalui mbanking, ATM, maupun teller juga masih tetap tidak bisa. Bagaimana ya? </p>"
TATA CARA PEMBAYARAN,<p>mohon maaf untuk tata cara pembayaran nya bagaiamana ya?</p>
TATA CARA PEMBAYARAN,"<p>Selamat pagi, mohon ijin bertanya untuk tata cara pembayaran sisa tagihan UKT saya apakah memang ada cara lain/dibayar ke beda rekening atau sama seperti biasanya saya membayar ukt pada awal semsester?</p>"
TATA CARA PEMBAYARAN,<p>Ass. Selamat Siang . Saya ingin bertanya mengenai pengumuman hasil dari diterima atau tidaknya pengangsuran UKT saya . Apakah dengan tampilan status di SIAM seperti ini sudah di terima ? . Jika Diterima bagaimana tata cara pembayaran pengangsuran UKT ? . </p> <p>Terimakasih. Wsb .</p>
TATA CARA PEMBAYARAN,"<p>Permisi mohon maaf sebelumnya, saya mau tanya bagaimana tata cara pembayaran angsuran IPI atau iuran pengembangan institusi? </p> <p>Terima kasih</p>"
TATA CARA PEMBAYARAN,"<p>Saya tidak dapat membayar UKT lewat bank BRI, terdapat pesan error ""Format rekening tujuan salah."" padahal sudah mengisi nomor pembayaran dengan NIM dan sudah mengikuti langkah - langkah dengan benar sesuai tata cara pembayaran di website selma. Saya sudah menghubungi call center BRI, katanya masalahnya ada di pihak universitasnya.</p> <p><br /></p>"
TATA CARA PEMBAYARAN,"<p>Nama: Carel Martin</p> <p>NIM: 215150300111046</p> <p>Selamat siang, saya ingin bertanya untuk pembayaran UKT melalaui telller BNI di tata cara pembayaran butuh No Tagihan dari universitas, apakah menggunakan NIM atau ada no. tagihan khusus?</p>"
TATA CARA PEMBAYARAN,<p>Mohon informasinya mengenai tata cara pembayaran</p>
TATA CARA PEMBAYARAN,"<p>Permisi izin bertanya</p> <p>Terkait dengan pembayaran cicilan UKT, apakah dibayara dengan prosuder yang sama seperti yang ditulis di webiste selma UB tentang tata cara pembayaran, apakah menggunakan Virtual Account yang sama?</p> <p>Terima Kasih</p>"
TATA CARA PEMBAYARAN,"<p>Assalamualaikum Permisi mohon maaf sebelumnya, saya mau tanya bagaimana tata cara pembayaran angsuran IPI? Soalnya saya mau setor di bank untuk pembayaran tetapi tidak bisa. Apa ada No Rekening yang bisa dituju untuk pembayaran? </p>"
TATA CARA PEMBAYARAN,"<p>Dear Filkom,</p> <p>Mohon dapat diinfokan bagaimana tata cara pembayaran uang pendaftaran, karena di laman tersebut tidak disebutkan langkah-langkahnya.</p> <p>Terima kasih<br /></p>"
TATA CARA PEMBAYARAN,"<p>Selamat siang, saya ingin tanya untuk tata cara pembayaran semester antara bagaimana ya? <br />Karena saya tidak menemukan instruksinya di filkom apps<br />Terima kasih.</p>"
TATA CARA PEMBAYARAN,<p>Assalamualaiku wr wb. Saya ingin bertanya perihal tata cara pembayaran untuk semester antara bagaimana ya?. Dan juga di filkom apps setelah simpan pendaftaran ada cetak kuitansi yang membutuhkan tanda tangan bagian akademik dan keuangan itu dikirim secara online atau harus datang ke Filkom nya langsung</p>
TATA CARA PEMBAYARAN,"<p>Selamat malam, saya ingin membayar semester antara, dan di web tata cara pembayaran semester antara tertulis Pembayaran dapat dilakukan pada teller bank, ATM non tunai atau internet banking dengan menyertakan berita keterangan “SA FILKOM ….. SKS”. Sedangkan pada mbangking mandiri virtual account ub tidak dapat menulis berita keterangan, apakah bisa dilanjut membayar tanpa berita keterangan itu?</p>"
TATA CARA PEMBAYARAN,"<p>Selamat siang,<br /><br />Sebelumnya perkenalkan, nama saya Moch Faiz Irfanudin, NIM 195150400111004, prodi Sistem Informasi. Berkaitan dengan pendaftaran semester antara dengan kasus khusus, saya berencana untuk mendaftar dengan kasus belum melakukan pendataan. Kemudian saya izin mengajukan beberapa pertanyaan sebagai berikut:<br />1. Sebagai syarat untuk bisa melakukan pendaftaran dengan tidak melakukan pendataan, diwajibkan membuat surat pernyataan yang harus disetujui oleh ketua pelaksana. Siapakah ketua pelaksana kegiatan semester antara 2021/2022 dan bagaimana cara saya menghubungi beliau untuk bisa meminta tanda tangan?<br />2. Terdapat sanksi buku yang harus dibayar dikarenakan saya tidak melakukan pendataan. Bagaimana tata cara pembayaran sanksi buku tersebut dan dimana saya dapat melihat nominalnya?<br /><br />Terima kasih atas perhatiannya.</p>"
TATA CARA PEMBAYARAN,"<p>Sebelum melakukan pendaftaran Seminar Hasil dan Ujian Skripsi, terdapat persyaratan untuk ""Bebas tanggungan sumbangan penyelenggaraan pendidikan (fotokopi bukti pembayaran SPP/UKT) semester *)""</p> <p>Di SIAM saya diberikan info bahwa masih ada Tagihan sebesar Rp.4.750.000</p><figure><img src=""cid:5phzoqnpwzhm6isrc_t65wqdfxnt989i"" data-image=""5PhZOQNpWzHm6ISRC_T65wQdFXnT989I"" alt=""image"" /></figure> <p>Namun ketika ingin melakukan pembayaran di ATM BRI, saya mendapat <strong>kode respon 27</strong> di dua ATM BRI yang berbeda. Kode yang saya isikan adalah <strong>021175150200111035</strong> di menu pembayaran -&gt; pendidikan. Mengikuti panduan dari <strong>tata cara pembayaran UKT</strong> di Selma.ub.ac.id</p><figure><img src=""cid:bvyyny5yh3uqqfe-ezyu6hservkgv5ve"" data-image=""bVyyNY5Yh3uqQfe-Ezyu6HserVkGV5VE"" alt=""image"" /></figure><figure><img src=""cid:tteycurhndl4ltczutirhoiovbnkkqro"" data-image=""TtEYcURHNDL4ltCZUTIRhOiOVBNkkqRo"" alt=""image"" /></figure> "
TIDAK DAPAT UPLOAD BERKAS YUDISIUM,"<p>Assalamulaiakum Wr, Wb.<br />Saya belum mendapatkan SK Yudisium hingga sekarang. Sedangkan pendaftaran pemberkasan Yudisium terakhir besok tanggal 13 Agustus 2021. Saya tidak dapat upload berkas di SIAM, karena terdapat konfirmasi untuk menghubungi pihak keuangan Fakultas. Sedangkan pihak Filkom Center Yudisium selalu menghubungi untuk upload berkas di SIAM. </p> <p>Terima Kasih.</p><figure><img src=""cid:pjbc8tz5rmydmfq3zn8ak5_liqenfsfu"" data-image=""pjbc8tz5RmydmfQ3zn8AK5_LiqenfSFU"" alt=""image"" /></figure><figure><img src=""cid:tgvjsa0kalc7bwsb-nbbme9n2fipywf8"" data-image=""TgvJsA0kALC7BWsB-nBbme9N2FiPyWf8"" alt=""image"" /></figure>"
TIDAK DAPAT UPLOAD BERKAS YUDISIUM,"<p>Mohon maaf Pak, Setelah saya mengikuti arahan dari link tersebut.</p> <p>File tidak dapat Upload juga</p>"
TIDAK DAPAT UPLOAD BERKAS YUDISIUM,"<p>Assalamualaikum wr.wb<br />selamat pagi bapak/ibu di tempat<br />ijin bertanya. Setelah 1 minggu kemarin saya mendapatkan e-mail dari PSIK </p><figure><img src=""cid:sd1pbml3uq4pvdxsgbwnkubfldhdbgfk"" data-image=""sd1pbmL3UQ4pvdXSgbwNKUBFlDHdbGfk"" alt=""image"" /></figure> <p>Apakah saya sudah terdaftar untuk yudisium periode V? dikarenakan pencairan saldo belum ada informasi lebih lanjut, yang mempengaruhi saya tidak dapat upload dokumen pada fitur aplikasi pada SIAM.<br />saya harap bapak/ibu memberikan informasi dan solusinya.<br />terimakasih.</p>"
KIP KULIAH,"<p>Kebetulan saya mendapat KIP Kuliah. Akan tetapi diakhir semester 2 kemarin mendapat email dikenakan pembayaran UKT sebesar 2,7 juta dan saya tanyakan kepada teman saya yang mendapat KIP Kuliah tidak mendapat email seperti saya</p>"
KIP KULIAH,<p>Selamat siang bapak/ibu apakah ub menerima kip kuliah susulan pada mahasiswa ?kapan dibuka pengajuan kip kuliahnya.</p> <p>Terimakasih</p>
KIP KULIAH,"<p>Assalamualaikum izin bertanya, sebelumnya saya mahasiswa yang mendapat KIP Kuliah akan tetapi saya tidak paham dengan tampilan yang ada di SIAM karena masih tertera tagihan.Sekian, Terima kasih<br /></p>"
KIP KULIAH,<p>selamat sore bapak/ibu.Saya Ahmad Israq Bahagia Maha dengan nim 215150707111037 .Ingin bertanya terkait pengajuan kip kuliah susulan kapan dapat dilakukan ya?Terimakasih bapak/ibu.</p>
KIP KULIAH,"<p>Selamat sore, maaf sebelumnya saya lancang bertanya seperti ini pak/bu. </p> <p><span style=""font-size:1em"">Saat pendaftaran SBMPTN, saya telat mendaftar KIP Kuliah sehingga sekarang saya sedikit kesulitan dengan UKT. Sebelumnya saya telah membaca beberapa artikel di google tentang KIP Kuliah. Seperti yang tertulis, masih bisa mendaftar KIP Kuliah jika dari pihak Universitas masih ada kuota kosong. Saya ingin bertanya, apakah kuota KIP Kuliah untuk angkatan 2021 masih ada? <br /></span></p> <p><span style=""font-size:1em"">Terima kasih atas waktunya, maaf jika saya ada kesalahan dalam penyampaian kata. <br /></span></p>"
KIP KULIAH,"<p>Selamat pagi pak/bu, jadi gini aku nau daftar kip kuliah tetapi aku udah semester 4, apakah masih bisa untuk daftar kip kuliah susulan pak/bu??</p>"
KIP KULIAH,"<p>KIP yang saya maksud itu bantuan biaya pendidikan pak/bu,, kemarin saya menanyakan kepada volunteer kip kuliah anak brawijaya juga katanya bisa jika dari akademik masih ada kuota untuk mendapatkan KIP Kuliah begitu</p>"
VERIFIKASI SKM,<p>tidak bisa login dengan akun UB untuk pengajuan layanan verifikasi SKM</p>
VERIFIKASI SKM,"<p>Sejak tanggal 5 agustus sampai sekarang status pengajuan di filkom apps masih menunggu verifikasi kemahasiswaan, saya izin bertanya apakah proses verifikasi SKM akhir memang lama? saya juga lampirkan screenshot filkom apps saya pak/bu. Terimakasih</p>"
VERIFIKASI SKM,"<p>Saya mengajukan verifikasi SKM, namun pengajuan saya ditolak karena ada beberapa yang tidak sesuai. Saya ingin melakukan revisi skm pada filkomapps saya, namun tidak bisa karena sudah menekan tombol ajukan verifikasi</p>"
VERIFIKASI SKM,"<p>Saya telah mengisi SKM di Filkom Apps dan ingin mengajukan verifikasi SKM.</p><ul><li>Nama : Alvin Naufal</li><li>NIM : 185150401111008</li><li>Prodi : Sistem Informasi </li></ul><figure><img src=""cid:4squxa4xwqzkpf_bo9dchhkjxj40c7jq"" data-image=""4SQuxA4xwQZkPF_Bo9dChHKJXj40C7jQ"" alt=""image"" /></figure>"
VERIFIKASI SKM,"<p>Selamat pagi kak, Kak ini untuk verifikasi SKM sendiri apakah harus ke filkom terlebih dahulu atau bagaimana ya? Saya sudah dari lama mengajukan di filkom apps cuman belum terverifikasi</p>"
VERIFIKASI SKM,<p>verifikasi SKM</p>
VERIFIKASI SKM,<p>Mengajukan verifikasi SKM pada filkom apps</p>
VERIFIKASI SKM,"<p>Saya ingin mendaftar semhas dan sudah mengajukan verifikasi SKM di Filkom Apps pada tgl 28 November. Sudah 4 hari dan masih belum ada verifikasi, bagaimana? Terima kasih</p>"
VERIFIKASI SKM,"<p>Assalamualaikum Wr. Wb</p> <p>Selamat pagi mohon maaf mengganggu waktunya.</p> <p>Nama saya Rivai Fansuri Nasution, Teknik Informatika 2016.</p> <p>Untuk verifikasi SKM mahasiswa itu membutuhkan waktu berapa lama ya?</p> <p>Karena saya membutuhkan SKM sebagai syarat penaftaran semhas.</p> <p>Terimakasih</p> "
VERIFIKASI SKM,<p>pertanyaan terkait verifikasi SKM</p>
VERIFIKASI SKM,<p>Permohonan verifikasi SKM</p>
VERIFIKASI SKM,"<p>Selamat pagi, saya Ema Rosalina, mahasiswa teknik informatika dari PSDKU UB Kediri. Saya sudah mengajukan SKM beberapa bulan yang lalu, tapi sampai sekarang belum di verifikasi. Apa yang harus saya lakukan untuk dapat verifikasi SKM?</p> <p>Atas bantuannya saya sampaikan terimakasih</p>"
VERIFIKASI SKM,verifikasi SKM
VERIFIKASI SKM,"<p>Assalamualaikum wr wb</p> <p>Surat permohonan kepada tim FILKOM APPS untuk mempercepat verifikasi SKM sebagai persyaratan pendaftaran Semhas Skripsi.</p> <p>Nama : Aji Leksono<br />NIM : 165150400111016<br />Prodi : Sistem Informasi</p> <p>Terimakasih atas perhatiannya, mohon maaf apabila ada salah kata.</p> <p>Wassalamualaikum wr wb</p>"
VERIFIKASI SKM,<p>verifikasi SKM</p>
VERIFIKASI SKM,"<p>Assalamualaikum wr.wb</p> <p>Permisi, saya ingin menanyakan terkait verifikasi skm yang sudah saya isikan pada filkomapps bagaimana ya? Karena link untuk verifikasi skmnya sudah tidak bisa di buka. Dan untuk konsultasi kaprodi meminta ttd pada transkrip nilai bagaimana ya?</p> <p>Terima kasih</p> <p>Wassalamualaikum wr.wb</p>"
VERIFIKASI SKM,"<p>kepada bapak/ibu di tempat, mohon maaf mengganggu waktunya</p> <p>Saya Agni, mahasiswa teknik komputer angkatan 2016. saya ingin menanyakan mengenai verifikasi skm saya atas nama ""Muhammad Agni Setyo Prawiro"". </p> <p>Di filkom apps saat ini status nya sudah ""menunggu verifikasi"" selama 2 minggu lebih. Kira-kira apakah ada kendala atau permasalahan pada surat atau teknis verifikasi saya?</p> <p>berikut saya juga sisipkan tangkapan layar dari kolom pengajuan verifikasi SKM</p> <p>Terima kasih, mohon bantuan dan jawabannya. </p> <p>-Muhammad Agni-</p><figure><img src=""cid:uebcx-_im0orvybfsc8kx0c4o06m76i8"" data-image=""ueBCX-_Im0oRVyBfsc8kX0c4O06M76I8"" alt=""image"" /></figure><p><br /></p>"
VERIFIKASI SKM,"<p>SKM saya belum terverifikasi, dan saya memerlukan Transkrip SKM sementara untuk mendaftarkan Seminar Hasil yang batas pendaftarannya 23 Desember 2021.</p> <p>Mohon bantuan nya untuk memverifikasi SKM saya agar saya mendapatkan Transkrip SKM sementara.</p> <p>Terima kasih<br /><br /></p>"
VERIFIKASI SKM,<p>verifikasi SKM</p>
VERIFIKASI SKM,"<p>Terkait verifikasi SKM, saya sudah mengirim pesan ke WA kemahasiswaan namun tidak ada jawaban. Kemudian barusan saya juga telah submit gform untuk verifikasi SKM. Mohon bantuannya ya </p>"
VERIFIKASI SKM,"<p>Selamat siang</p> <p>Izin bertanya terkait SKM, saya sudah dalam tahap proses penjadwalan yudisium pada Filkom app namun saya ada SKM yang belum diverifikasi. Saya mengajukan SKM tersebut setelah pendaftaran semhas, apakah masih bisa diverifikasi SKM yang telah saya ajukan?</p> <p>Terima kasih sebelumnya</p>"
VERIFIKASI SKM,<p>Verifikasi SKM</p>
VERIFIKASI SKM,<p>mohon dibantu verifikasi SKMnya (sertifikat PK2 dan yg lainnya)</p>
VERIFIKASI SKM,"<p>Selamat pagi bapak/ibu kemahasiswaan. Mohon maaf, saya julisya dari prodi tekkom. izin bertanya terkait skm. saya sedang mempersiapkan berkas-berkas untuk upload dokumen yudisium pada menu ""upload"" di siam. terdapat menu sertifikat prestasi (untuk SKPI), saya awalnya tidak tahu dokumen apa yang harus di upload dan saya baru tahu dari teman kalau itu diisi dengan SKM. saya langsung ajukan verifikasi skm pagi ini melalui filkom apps karena di minta panitia yudisium untuk segera melengkapi secepatnya. mohon maaf saya izin bertanya bapak/ibu, berapa lama waktu verifikasi SKM oleh akademik ya ? mohon maaf dan terimakasih </p>"
VERIFIKASI SKM,"<p>Selamat Siang, Saya Wildan Arrizal  (185150407111019) </p> <p>Mahasiswa Prodi Sistem Informasi FILKOM UB.</p> <p>Saya izin menanyakan untuk verifikasi SKM dari kemahasiswaan berapa lama? Saya sudah mengajukan sejak bulan januari namun belum disetujui oleh bagian akademik. </p> <p>Demikian yang bisa saya sampaikan. Terima Kasih</p><figure><img src=""cid:4zwowvh4tclnqk2zeag28lbqrci4kiuc"" data-image=""4zWowVh4tCLnqK2zeAg28LBqrCI4kIUc"" alt=""image"" /></figure>"
VERIFIKASI SKM,"<p>Ingin bertanya mengenai verifikasi SKM, Untuk waktu verifikasi membutuhkan waktu berapa lama? saya sudah mengajukan cetak transkrip SKM dan sudah disetujui namun belum mendapatkan hasil cetaknya (online/offline) untuk keperluan mendaftar seminar hasil skripsi.</p> <p>Terima Kasih</p>"
VERIFIKASI SKM,"<p>Selamat siang pak, saya Charisma Prasetya dari Teknologi Informasi, mau konfirmasi bahwa saya telah melakukan verifikasi skm di filkom apps pada tanggal 22 juni tetapi sampai hari ini masih belum diverifikasi, untuk selanjutnya bagaimana ya pak?</p>"
VERIFIKASI SKM,"<p>Selamat siang pak, saya Charisma Prasetya dari Teknologi Informasi, mau konfirmasi bahwa saya telah melakukan verifikasi skm di filkom apps pada tanggal 22 juni tetapi sampai hari ini masih belum diverifikasi, untuk selanjutnya bagaimana ya pak?</p>"
VERIFIKASI SKM,"<p>Assalamualaikum selamat sore, sehubungan dengan pendaftaran semhas hingga tanggal 8, hari ini saya mengisi form untuk verifikasi SKM sebagai presyarat pendaftaran semhas apakah mungkin dapat mohon diverifikasi sebelum tanggal 8 ya Pak/Bu? agar saya dapat mendaftar semhas</p>"
VERIFIKASI SKM,"<p>Selamat pagi bapak/ibu, saya Sulthon Akhdan Ghali, NIM 175150200111065, Teknik Informatika 2017. Sehubungan dengan pendaftaran semhas/sidang terakhir pada tanggal 8 Juli 2022, saya mengajukan SKM untuk diverifikasi pada tanggal 6 Juli 2022 kemarin. Saya memohon bantuan dari bapak/ibu untuk memverifikasi SKM saya, sehingga saya dapat mendaftar semhas/sidang sebelum tanggal 8 Juli 2022, terima kasih.</p>"
VERIFIKASI SKM,"<p>Selamat siang bapak/ibu,<br /><br />saya Muhammad Daffa Arga dengan nim 185150400111053 ingin mengonfirmasi bahwa saya sudah menginput SKM sejak kemarin namun masih berstatus verifikasi. Sekiranya bapak/ibu bisa meninjau untuk memverifikasi SKM saya untuk keperluan pendaftaran semhas. Terima kasih banyak bapak/ibu.</p>"
VERIFIKASI SKM,<p>Formulir daring Pengajuan Verifikasi SKM tidak dapat diakses dengan masalah dari drive-nya. Mohon perbaikannya serta pembaharuan tautan di web filkom bagian layanan kemahasiswaan.</p>
